timestamp;user;acceleration_x;acceleration_y;acceleration_z;gyro_x;gyro_y;gyro_z
;;0.1830;-0.7119;-0.2409;0.7586;0.2051;0.6038
;;0.2128;-1.2274;-0.4500;0.2162;-0.1282;0.3536
;;0.1427;-1.2984;-0.2524;-1.4717;-0.2310;-1.1947
;;0.1688;-0.7584;-0.0801;-1.2172;-0.2977;-1.2861
;;0.1667;-0.9448;-0.2999;1.3187;0.5476;1.6798
;;0.1709;-0.7640;-0.2691;0.9925;0.6505;0.6999
;;0.2392;-1.2603;-0.4892;0.2469;-0.2665;0.4984
;;0.2777;-1.1985;-0.2920;-1.1473;-1.3791;-0.5789
;;0.1322;-0.7808;-0.0743;-1.5143;-0.0441;-1.9780
;;0.0843;-0.8860;-0.2462;1.0437;0.8795;1.2731
;;0.2577;-1.0092;-0.3132;0.8316;-0.0929;0.6493
;;0.2360;-1.1380;-0.3594;-0.7137;-0.8980;-0.7559
;;0.1622;-0.8613;-0.1026;-1.6939;0.0081;-2.2140
;;0.2336;-0.8792;-0.1037;-0.1710;0.2386;-0.0550
;;0.2273;-1.2449;-0.2744;1.6506;-0.0920;2.3235
;;0.2119;-0.7967;-0.2472;0.8237;0.1701;0.4630
;;0.1407;-1.3791;-0.3856;-0.0849;-0.2904;-0.2659
;;0.0946;-1.0502;-0.1042;-1.7581;-0.5377;-0.7537
;;0.2131;-0.8498;-0.0869;-1.3127;0.5213;-1.4063
;;0.1497;-1.0055;-0.3228;1.5455;-0.2667;1.8449
;;0.1462;-0.7292;-0.2454;1.0700;0.4468;0.8962
;;0.1493;-1.1820;-0.4084;0.1785;-0.1061;0.0822
;;0.2074;-1.2829;-0.2350;-1.6178;-0.4107;-0.8885
;;0.1969;-0.7689;-0.0536;-1.4747;0.2093;-1.7113
;;0.2580;-1.0965;-0.1855;1.0661;0.4540;1.6414
;;0.0273;-0.9146;-0.1693;1.2789;0.0407;0.9614
;;0.2465;-0.9606;-0.3634;0.6703;-0.0718;0.6460
;;0.1859;-1.2922;-0.2628;-1.3120;-0.8377;-0.7501
;;0.1312;-0.8314;-0.0299;-2.0069;0.2959;-1.6863
;;0.2710;-1.0278;-0.2413;0.0981;0.5392;0.4297
;;0.1918;-1.1046;-0.2978;1.4477;-0.0749;1.3942
;;0.1974;-0.8898;-0.2972;0.9989;0.1542;0.9582
;;0.2507;-1.0970;-0.4242;-0.9160;-0.6890;-0.5080
;;0.1281;-0.8584;-0.1255;-1.7575;-0.2250;-2.2209
;;0.2287;-0.9328;-0.1006;-0.0203;0.4533;0.1926
;;0.1698;-1.1955;-0.2761;1.5312;-0.4095;1.9134
;;0.2396;-0.7698;-0.2175;1.0824;0.1108;0.8349
;;0.2805;-1.1142;-0.4716;-0.4899;0.0238;-0.3471
;;0.1202;-0.8954;-0.1261;-2.0484;0.3850;-2.0022
;;0.2033;-0.8258;-0.1008;-0.8881;0.4551;-0.6476
;;0.1610;-1.2779;-0.3027;1.8089;0.2354;2.2568
;;0.1801;-0.7757;-0.2501;1.2487;0.5048;0.9778
;;0.1573;-1.2844;-0.4422;-0.2915;0.3120;-0.1352
;;0.1772;-1.3160;-0.1824;-2.0618;-0.2902;-1.7353
;;0.1640;-0.8796;-0.0673;-1.5402;0.0814;-1.7324
;;0.2527;-1.0028;-0.3466;1.7512;0.3853;1.9048
;;0.1280;-0.7762;-0.2168;1.2393;1.3315;0.8413
;;0.2487;-1.2877;-0.4488;0.2938;0.2073;0.7434
;;0.2442;-1.1122;-0.2257;-1.3439;-0.7728;-1.1894
;;0.1673;-0.8766;-0.0656;-1.4486;0.2374;-1.5895
;;0.2738;-1.0851;-0.2453;0.8030;-0.0729;1.0308
;;0.1094;-0.8228;-0.2037;1.0791;0.3116;1.1304
;;0.2506;-1.0306;-0.3295;0.6776;-0.0919;1.0399
;;0.2267;-1.1476;-0.2294;-1.0581;-0.5449;-0.9150
;;0.2167;-0.8563;-0.0835;-1.2635;-0.7162;-1.6643
;;0.2648;-1.1996;-0.1711;0.1563;0.4761;0.6208
;;0.1568;-0.9643;-0.2218;1.0428;-0.0847;1.0620
;;0.2106;-0.7951;-0.2370;0.8800;0.3598;0.8669
;;0.1870;-0.7093;-0.0989;-1.4743;-0.5096;-1.2676
;;0.1672;-0.7724;-0.0727;-0.5314;0.5608;-0.5476
;;0.1571;-1.2778;-0.2845;1.4040;-1.0412;0.9629
;;0.1985;-0.6766;-0.2717;0.8591;0.5558;1.0486
;;0.2437;-1.2757;-0.4601;-0.5722;-0.6532;-0.2604
;;0.1749;-0.7699;-0.1248;-1.6583;-0.1935;-2.1824
;;0.2470;-0.8548;-0.1302;-0.5704;0.3291;-0.5589
;;0.1286;-1.2888;-0.2700;1.3866;-0.0471;1.8515
;;0.2540;-0.6992;-0.2318;1.1665;0.1370;1.2918
;;0.1941;-1.2621;-0.3832;-0.2428;0.6571;-0.1968
;;0.2349;-1.0636;-0.1820;-1.5859;-1.6889;-1.6305
;;0.1938;-0.9530;0.0036;-1.7171;1.7188;-1.1572
;;0.2538;-0.9925;-0.2920;1.5516;-0.4167;1.4544
;;0.1503;-0.7165;-0.2397;1.2081;0.0969;0.9965
;;0.1844;-1.2507;-0.3581;0.3044;0.0213;0.4520
;;0.1255;-1.0749;-0.1551;-1.6957;-0.1264;-1.2718
;;0.1894;-0.7722;-0.0869;-1.2807;-0.1406;-1.5039
;;0.2861;-1.0503;-0.2447;1.4335;0.4228;1.9166
;;0.1597;-0.6942;-0.2279;0.8284;-0.0258;0.3216
;;0.2805;-1.2257;-0.3986;0.4219;-0.1680;0.8910
;;0.2140;-1.3338;-0.2345;-1.4754;-1.2635;-0.7395
;;0.1778;-0.7626;-0.0720;-1.7002;-0.1699;-1.6533
;;0.2339;-1.0520;-0.2437;0.7338;0.5040;1.2418
;;0.1319;-0.8468;-0.2555;1.6320;-0.5909;1.2042
;;0.1526;-0.9727;-0.3213;0.6974;0.2483;0.6906
;;0.2515;-1.2296;-0.3997;-1.2905;-1.3320;-0.5518
;;0.1229;-0.8131;-0.0923;-1.9328;0.0279;-2.0221
;;0.2065;-0.8758;-0.1355;0.1976;0.8211;0.5468
;;0.1622;-1.2715;-0.2589;1.4458;-0.8235;1.6563
;;0.2402;-0.8121;-0.2982;0.9467;0.3757;0.8231
;;0.3375;-1.4460;-0.5969;-1.0163;-1.2502;-0.7829
;;0.2470;-0.8608;-0.1050;-0.0289;0.5678;0.2635
;;0.1403;-1.2734;-0.3454;1.4081;-0.1332;1.4797
;;0.1902;-0.7278;-0.2430;0.9738;0.9589;0.9835
;;0.1310;-0.7275;-0.0556;-1.8436;0.6756;-1.6423
;;0.1751;-1.4148;-0.4171;-0.1983;-0.9198;-0.1693
;;0.1036;-0.9312;-0.1839;-1.9249;0.2347;-1.7471
;;0.1679;-1.0048;-0.0948;-1.1358;0.7576;-0.3276
;;0.1289;-1.1310;-0.2688;1.1327;-0.2461;1.1941
;;0.2161;-0.7799;-0.2359;1.0444;0.9079;1.1443
;;0.2499;-1.4454;-0.4235;0.4922;0.4328;0.4787
;;0.2034;-0.8746;-0.3459;1.0032;-0.3506;0.6239
;;0.1388;-1.4244;-0.3936;-0.4179;-0.7656;0.1253
;;0.1329;-0.7402;-0.1528;-1.6852;0.3256;-1.2645
;;0.1818;-0.7946;-0.0759;-0.6798;0.8493;-0.3536
;;0.1262;-1.2632;-0.3040;1.2978;0.3300;0.9819
;;0.0828;-0.6816;-0.2517;0.6801;1.0696;0.6450
;;0.1801;-1.4447;-0.3993;0.3073;-0.1151;0.6971
;;0.0619;-0.8246;-0.1782;-1.4516;-0.1279;-1.1714
;;0.1704;-0.8192;-0.1044;-1.1434;0.2402;-0.7018
;;0.1390;-1.2098;-0.2629;0.9364;0.4748;0.9750
;;0.1205;-0.6432;-0.1962;0.9943;0.6559;0.6064
;;0.1996;-1.6680;-0.4232;0.5719;-0.0353;1.1469
;;0.1296;-0.9275;-0.1773;-1.6727;-0.3545;-1.1794
;;0.1789;-0.8336;-0.0787;-1.1587;-0.0118;-1.1108
;;0.1494;-1.1586;-0.2275;0.9090;0.7711;1.2840
;;0.1015;-0.6745;-0.1907;0.8330;1.0292;0.9926
;;0.1954;-1.2639;-0.3812;0.5732;0.0801;1.0234
;;0.1480;-1.1854;-0.2069;-1.2886;-1.2070;-1.3143
;;0.2060;-0.9460;-0.2974;0.9164;0.4123;1.4389
;;0.0535;-0.7274;-0.1334;1.1869;0.4889;1.0241
;;0.2409;-1.2986;-0.4293;0.8623;0.0295;1.0759
;;0.1836;-1.4093;-0.2643;-1.9449;-0.1258;-1.1741
;;0.2232;-0.8481;-0.0599;-1.6964;-0.4111;-1.8005
;;0.2813;-1.0820;-0.1330;1.2670;0.2003;1.4714
;;0.0143;-0.7662;-0.2058;1.3083;0.8100;0.9651
;;0.2392;-0.8849;-0.3767;0.9488;-0.5460;1.0280
;;0.0988;-1.3020;-0.2032;-1.6821;-0.3651;-1.4262
;;0.1802;-0.7159;-0.0543;-1.5119;-0.9805;-1.6220
;;0.2289;-1.1409;-0.1730;0.1367;1.0291;0.2585
;;0.0446;-0.8512;-0.1667;1.4120;-0.2185;1.5274
;;0.2357;-0.9555;-0.3399;1.0349;0.1517;1.0822
;;0.2595;-1.2955;-0.3501;-0.8953;-0.9771;-0.5670
;;0.1541;-0.8241;-0.0916;-1.8183;-0.0609;-2.4903
;;0.2422;-0.9153;-0.1388;0.0214;0.1801;0.2982
;;0.0203;-1.3098;-0.1534;1.3233;-0.1698;1.8613
;;0.2601;-0.7349;-0.2511;0.7548;0.4208;0.7789
;;0.2710;-1.3561;-0.5102;-0.2698;-0.7400;-0.1479
;;0.0117;-1.1659;-0.1307;-2.2611;0.2799;-2.2836
;;0.1896;-0.7721;-0.0540;-0.7827;0.1140;-0.8054
;;0.1696;-0.9948;-0.3121;2.1053;-0.3112;2.6083
;;0.1032;-0.7938;-0.1554;1.0807;0.6454;0.7610
;;0.2332;-1.4221;-0.4607;0.2338;0.1036;0.0824
;;0.1090;-1.0456;-0.1810;-1.8118;0.1100;-1.8010
;;0.1377;-0.7965;-0.0690;-1.3071;0.2143;-1.2086
;;0.2702;-0.9655;-0.2858;1.5204;-0.0907;2.1124
;;0.0800;-0.7864;-0.1908;1.0022;0.8177;0.9237
;;0.2922;-1.2428;-0.4388;0.2544;-0.0794;0.3000
;;0.1614;-1.2764;-0.2268;-1.4743;-0.9699;-1.5445
;;0.2029;-0.7950;-0.0779;-1.2464;-0.6317;-1.3717
;;0.0939;-0.9611;-0.1939;-1.8647;0.2847;-1.9665
;;0.1734;-0.7353;-0.0919;-1.0536;-0.4105;-0.8102
;;0.2599;-1.1334;-0.2435;1.3757;0.3796;1.7667
;;0.1214;-0.7355;-0.2130;0.8058;0.9653;0.5277
;;0.2556;-1.1859;-0.3984;0.6853;-0.0474;0.9387
;;0.2254;-1.0581;-0.3308;0.8505;0.3459;1.5975
;;0.0603;-0.7202;-0.2151;0.8789;0.2600;0.9451
;;0.2208;-1.0710;-0.3767;0.4554;0.4398;0.4607
;;0.2518;-1.2925;-0.2503;-0.7994;-1.3126;-0.7766
;;0.1538;-0.7553;-0.1037;-1.3741;-0.4598;-2.3002
;;0.1730;-1.0386;-0.2300;0.2482;0.5917;0.9206
;;0.1197;-1.0253;-0.1885;1.0875;-0.0515;1.5144
;;0.2476;-0.8392;-0.2891;0.7071;1.0022;1.0742
;;0.2565;-1.1613;-0.3455;-0.6905;-1.0109;-0.8042
;;0.1415;-0.7998;-0.1085;-1.5646;-0.6032;-2.1828
;;0.2025;-0.9620;-0.1351;-0.2311;0.2712;0.0772
;;0.1564;-1.1629;-0.2172;1.5031;-0.3064;1.9615
;;0.1480;-0.7413;-0.2241;0.5879;1.0078;0.3375
;;0.1190;-1.3183;-0.3837;-0.0554;0.0068;-0.1847
;;0.0368;-1.1979;-0.1534;-1.7407;0.0244;-1.6815
;;0.1844;-0.7649;-0.0914;-0.6538;-0.0674;-0.7590
;;0.0937;-1.0638;-0.2711;1.4612;-0.0356;1.5430
;;0.0948;-0.7247;-0.1837;0.8157;1.1116;0.7437
;;0.1488;-1.1035;-0.1476;-1.2681;-0.7609;-1.1369
;;0.1590;-0.8166;-0.0665;-1.2624;-0.2902;-1.6996
;;0.2292;-1.1149;-0.2152;0.7156;0.5293;1.3588
;;0.0673;-0.9019;-0.1851;0.8762;0.8324;1.1612
;;0.2005;-0.9000;-0.2910;0.6969;0.1916;0.6453
;;0.1208;-1.1053;-0.2906;-0.5423;0.8109;-0.8142
;;0.0775;-0.7631;-0.0730;-1.5523;-0.5566;-1.8688
;;0.2261;-1.0171;-0.1029;0.1423;0.3999;0.5895
;;0.0932;-1.1393;-0.1674;0.9496;-0.1766;1.2798
;;0.2774;-0.7391;-0.2274;0.8406;0.1419;0.9112
;;0.1369;-1.3718;-0.3078;-0.0920;-0.0120;-0.2031
;;0.0488;-1.1298;-0.1178;-1.7637;0.2963;-1.8174
;;0.1834;-0.7805;-0.1062;-1.0946;-0.1917;-1.1397
;;0.2247;-0.9555;-0.3326;1.4447;-0.0620;2.5459
;;0.1911;-0.7539;-0.1911;0.6100;0.9705;0.5479
;;0.2091;-1.2841;-0.3425;0.4115;-0.1061;0.3746
;;0.2591;-1.1703;-0.2673;-1.0470;-0.9452;-0.9110
;;0.1690;-0.7798;-0.0751;-1.2383;-0.5972;-1.5138
;;0.2596;-1.1741;-0.1807;0.8256;0.2132;1.4159
;;0.0723;-0.7014;-0.1982;0.4801;1.3126;0.6929
;;0.1317;-1.1393;-0.2411;0.6005;0.8243;0.6497
;;0.2774;-1.1450;-0.2629;-0.1086;-1.1160;0.0337
;;0.1264;-0.8203;-0.1078;-1.4397;-0.2354;-1.9108
;;0.1914;-1.0863;-0.0976;-0.7105;0.6559;-0.1718
;;0.1078;-1.0342;-0.2098;0.7363;-0.3165;0.9374
;;0.2084;-0.6731;-0.1809;0.8717;0.4571;1.1025
;;0.1867;-1.5285;-0.3427;0.3975;0.6258;0.4776
;;0.1231;-1.1172;-0.1542;-1.2700;-0.4366;-1.1605
;;0.1492;-0.8315;-0.0666;-1.2057;0.0378;-1.2982
;;0.2642;-1.0426;-0.2439;1.1392;-0.1048;1.5479
;;0.1823;-0.6633;-0.1980;0.5426;0.9419;0.5446
;;0.2148;-1.3446;-0.2942;-1.3026;-1.4723;-0.6322
;;0.1605;-0.7806;-0.0723;-1.8940;-0.1829;-1.9105
;;0.2623;-1.0910;-0.1546;0.2587;0.8342;0.6063
;;0.2697;-0.7553;-0.3388;1.0892;-0.2044;1.2222
;;0.0979;-1.3173;-0.2875;0.4794;0.6659;0.6884
;;0.2738;-1.1985;-0.2618;-0.5594;-1.6235;-0.3211
;;0.1426;-0.7621;-0.0859;-1.5154;-0.3072;-2.1085
;;0.2451;-1.1798;-0.1740;0.0264;0.7757;0.8019
;;0.0483;-0.9596;-0.1765;0.8180;0.2387;1.2364
;;0.2246;-0.7592;-0.1940;0.8190;0.3649;0.7904
;;0.1766;-1.4082;-0.3634;-0.0507;-0.4795;-0.0482
;;0.1369;-0.9307;-0.1648;-1.5086;0.0969;-1.5085
;;0.1508;-0.8787;-0.0769;-0.7768;0.2604;-0.7275
;;0.1702;-1.1386;-0.2723;1.2303;-0.5411;1.5999
;;0.1870;-0.7364;-0.1759;0.6894;0.8717;0.5443
;;0.1940;-1.2993;-0.3144;0.2411;0.4447;0.3007
;;0.1906;-1.2509;-0.2638;-1.2853;-0.8823;-0.8390
;;0.2087;-0.7813;-0.0595;-1.2781;-0.6273;-1.4192
;;0.2062;-1.0926;-0.2183;0.3804;0.6282;0.6349
;;0.0698;-0.9740;-0.2859;0.7059;1.1179;1.1453
;;0.2405;-0.7064;-0.1371;0.8363;-0.5274;1.4457
;;0.3776;-1.3237;-0.4443;0.2557;-0.6437;0.6456
;;0.3468;-0.9341;-0.0065;-1.1489;0.2863;-1.2098
;;0.1596;-0.9405;-0.3147;1.0137;-0.7253;0.1616
;;0.1560;-0.7946;-0.2217;1.0763;0.7431;1.4881
;;0.2061;-1.0240;-0.3042;0.6765;-0.4071;1.1351
;;0.2202;-1.1784;-0.3165;-0.8161;-1.1701;-1.1660
;;0.1780;-0.7931;-0.1194;-1.2989;-0.2817;-1.2236
;;0.2718;-1.3011;-0.2781;-0.1534;0.6347;0.6018
;;0.1013;-0.8794;-0.1691;1.1549;-0.6559;1.2277
;;0.2307;-0.9526;-0.3391;1.1607;-0.8259;1.2519
;;0.1650;-1.3678;-0.2637;-1.4306;-0.9681;-0.7356
;;0.1846;-0.8759;-0.0730;-2.3011;-0.5123;-1.6254
;;0.2291;-0.8212;-0.0595;-0.6251;1.3417;-0.5416
;;0.2732;-1.1202;-0.3477;2.2125;-1.7819;1.6391
;;0.1894;-0.8606;-0.3397;1.5274;0.2214;1.3276
;;0.2087;-1.3667;-0.4494;-0.5932;-0.1786;-0.1611
;;0.1148;-1.0944;-0.1302;-2.3842;-0.1461;-1.8682
;;0.1481;-0.8069;-0.0197;-1.5885;0.8146;-1.2915
;;0.2075;-0.8720;-0.3255;2.1185;-0.5139;2.6726
;;0.1599;-0.8662;-0.3586;1.2507;0.8159;1.2841
;;0.3402;-1.3597;-0.5025;-0.3647;0.0139;-0.2976
;;0.1705;-1.0689;-0.2106;-1.4588;-0.6942;-2.4579
;;0.1279;-0.7176;-0.0775;-1.0279;0.4838;-1.1024
;;0.1339;-1.1073;-0.3755;1.7507;-0.1284;2.2894
;;0.1631;-0.8046;-0.2481;1.1113;0.9270;0.8777
;;0.2301;-1.1394;-0.4217;0.6645;0.0458;0.6640
;;0.1730;-1.3941;-0.3550;-1.6151;-0.5537;-1.3160
;;0.1306;-0.7888;-0.0884;-1.6915;-0.2441;-1.5978
;;0.2544;-0.9976;-0.1837;0.6790;0.0833;1.1996
;;0.0443;-0.9174;-0.3044;1.3307;0.8188;1.2810
;;0.2634;-1.1001;-0.4400;0.6207;-0.3210;0.7622
;;0.2171;-1.3865;-0.2375;-0.8814;-0.7334;-1.0302
;;0.2231;-1.1582;-0.4173;-0.8369;-0.6134;-0.4616
;;0.0879;-0.8422;-0.1043;-2.0301;0.0447;-1.8429
;;0.2231;-0.9351;-0.1048;-0.4770;0.6794;-0.1611
;;0.0825;-1.1694;-0.2758;1.6853;-0.7073;1.6184
;;0.2221;-0.7788;-0.2691;0.8622;0.5065;1.0022
;;0.1471;-0.8597;-0.1042;-1.5974;-1.0254;-1.6592
;;0.2178;-0.8628;-0.1065;0.0359;0.7135;0.3699
;;-0.0474;-1.1679;-0.2809;1.2222;-0.3603;1.5402
;;0.2805;-0.6932;-0.3741;0.4460;0.9914;1.1320
;;0.1303;-1.2819;-0.4405;-0.4471;0.2200;-0.4977
;;0.0486;-0.8953;-0.2280;-1.2420;-0.2022;-1.8872
;;0.0207;-0.5208;-0.1814;-0.3336;0.8140;0.3349
;;0.1360;-1.3422;-0.2757;1.2712;0.3936;1.7559
;;0.2286;-0.6773;-0.2488;0.8197;0.0714;0.0744
;;0.1729;-1.2216;-0.4173;-0.1175;0.1055;-0.1941
;;0.1335;-1.1823;-0.1373;-1.5728;-0.5431;-1.3949
;;0.1786;-0.6881;-0.0546;-1.4335;-0.2984;-1.6791
;;0.3052;-1.0247;-0.2290;1.5761;1.0244;2.6169
;;0.0730;-0.8874;-0.2042;1.2697;-0.4504;0.9694
;;0.3628;-1.0737;-0.4965;0.2809;-0.4593;0.5560
;;0.3111;-1.2751;-0.3056;-1.6142;-0.8802;-1.8639
;;0.1133;-0.8458;-0.0148;-1.8586;0.3170;-1.4485
;;0.2803;-0.9913;-0.1877;0.9043;0.6018;1.4076
;;0.3099;-1.1032;-0.4536;0.6376;-0.2537;0.7441
;;0.3161;-1.4566;-0.3447;-1.2828;-1.1895;-1.2744
;;0.1067;-0.8853;-0.0836;-2.1378;-0.1286;-2.2982
;;0.2497;-0.7003;-0.1381;0.1386;0.4477;0.9056
;;0.2390;-1.1580;-0.2666;1.8158;-1.3968;2.4413
;;0.3188;-0.8167;-0.3752;0.7453;1.1784;0.7199
;;0.3127;-1.6026;-0.3589;-1.1614;-0.5650;-0.9104
;;0.1022;-0.8918;-0.0834;-2.0565;0.0587;-2.6734
;;0.2147;-0.6726;-0.1112;-0.3482;0.3479;-0.5041
;;0.2775;-1.5046;-0.3869;2.1971;-0.6133;3.5138
;;0.2678;-0.8091;-0.2616;0.7847;1.5691;0.7021
;;0.2899;-1.4323;-0.4860;-0.8789;-0.2612;-0.9414
;;0.0989;-0.9534;-0.1063;-2.1286;-0.0257;-2.3022
;;0.1886;-0.7181;-0.0677;-0.9792;0.7037;-1.0442
;;0.3153;-1.3675;-0.4136;2.2680;-0.1185;3.4642
;;0.1809;-0.8567;-0.2177;1.3121;0.3802;0.8132
;;0.2610;-1.4903;-0.4877;-0.2666;0.1855;-0.0483
;;0.1129;-1.0736;-0.1244;-2.1610;0.0164;-1.9142
;;0.1647;-0.6944;-0.0552;-1.6354;0.2662;-1.8322
;;0.3540;-0.7581;-0.2586;2.5655;0.5708;3.3876
;;0.0704;-0.8747;-0.2136;1.4304;0.6918;0.4977
;;0.2322;-1.1117;-0.4863;0.1437;-0.4600;0.1106
;;0.2287;-1.4198;-0.2480;-1.8565;-0.2898;-1.5298
;;0.1596;-0.8298;-0.0201;-1.7783;-0.0164;-1.5439
;;0.3875;-1.0714;-0.2130;1.0952;0.3558;1.4371
;;0.0108;-1.0585;-0.2691;1.7170;0.5721;1.6992
;;0.3173;-0.8367;-0.4150;1.0914;0.0630;0.8257
;;0.2509;-1.4597;-0.3485;-1.4537;-0.5915;-0.9546
;;0.0974;-1.0149;-0.0585;-2.5997;0.1849;-1.9767
;;0.2402;-0.6723;-0.0628;-0.6549;1.0825;-0.6135
;;0.4302;-1.2575;-0.5460;2.1214;-0.7662;2.6705
;;0.1568;-1.3301;-0.4184;-0.4833;0.1037;-0.3122
;;0.1118;-1.0178;-0.1473;-1.5102;-1.3898;-1.6491
;;0.1205;-0.7599;-0.0652;-1.4609;0.7402;-1.3466
;;0.1542;-0.9744;-0.3819;1.5214;-0.1407;1.8331
;;0.1480;-0.7256;-0.2440;1.0003;0.6979;0.9461
;;0.3170;-0.7538;-0.3249;1.2225;0.3347;1.0049
;;0.2431;-1.4565;-0.4944;-0.5537;0.0708;-0.2455
;;0.1646;-0.9522;-0.1393;-2.0028;-0.6314;-1.4101
;;0.1523;-0.7206;-0.0615;-1.1758;0.9458;-0.9544
;;0.2158;-1.1369;-0.3589;1.9815;-0.7941;2.6483
;;0.1624;-0.8206;-0.2519;1.1192;0.7059;0.6410
;;0.1902;-1.1504;-0.4556;-0.0197;-0.0740;0.2581
;;0.1416;-1.3145;-0.2047;-1.9591;0.2051;-1.7509
;;0.1278;-0.7223;-0.0548;-1.6608;-0.0190;-1.8060
;;0.3036;-0.9216;-0.3009;1.6345;0.1673;2.4498
;;0.1551;-0.9515;-0.2560;1.4509;-0.0441;1.2544
;;0.3936;-0.9821;-0.5067;0.1559;-0.3718;0.4094
;;0.3383;-1.5681;-0.3558;-1.5990;-1.5564;-1.2909
;;0.1563;-0.7881;-0.0702;-1.8932;-0.0080;-2.5600
;;0.2900;-0.6226;-0.2234;0.9601;0.0912;1.8269
;;0.2495;-1.2849;-0.3825;1.8002;-0.8430;2.0311
;;0.3668;-0.7419;-0.4012;0.3989;1.0662;0.5744
;;0.2985;-1.5062;-0.3896;-1.2721;-0.7715;-1.0719
;;0.2827;-0.7675;-0.1846;-0.0524;0.5970;0.2573
;;0.2294;-1.3137;-0.3595;2.0811;-0.3645;2.2447
;;0.2107;-0.7460;-0.3408;1.0306;1.2351;0.8692
;;0.1897;-1.5524;-0.4552;-1.1370;0.3227;-0.6460
;;0.0992;-0.9972;-0.1182;-2.0432;-0.8690;-2.2972
;;0.1551;-0.6057;-0.0797;-0.8992;0.5852;-0.7564
;;0.2467;-1.3167;-0.4050;2.4928;0.2018;3.3940
;;0.0309;-0.8470;-0.2860;1.0559;1.6772;0.6993
;;0.3176;-1.1655;-0.4683;-0.1138;-1.1158;0.0631
;;0.2473;-1.3101;-0.2806;-1.7140;-0.8798;-2.2073
;;0.1164;-0.7830;-0.0496;-1.7747;0.2495;-2.1363
;;0.3566;-0.7146;-0.2272;1.7865;0.4941;2.7648
;;0.1164;-1.1629;-0.3515;0.8060;1.7986;1.5099
;;0.3213;-0.9388;-0.4075;0.5271;-0.6182;0.8790
;;0.2739;-1.2908;-0.2833;-1.5012;-0.7469;-1.9697
;;0.1141;-0.7760;-0.0374;-2.0638;0.3028;-2.0139
;;0.2590;-0.6960;-0.1552;0.4137;0.4488;1.1472
;;0.1736;-1.1329;-0.2982;2.1629;-0.4680;2.2582
;;0.3713;-0.8413;-0.4194;0.9324;1.1142;1.1369
;;0.2752;-1.2986;-0.4184;-1.0788;-0.1924;-0.9324
;;-0.0005;-1.0402;-0.0538;-2.5312;1.1182;-2.6267
;;0.2198;-0.4672;-0.1437;-0.5473;-0.0004;-0.5755
